,D_DATE,Ticker,Cena / Wartość księgowa,Cena / Wartość księgowa Grahama,Cena / Przychody ze sprzedaży,Cena / Zysk,Cena / Zysk operacyjny,EV / Przychody ze sprzedaży,EV / EBIT,EV / EBITDA,ROE,ROA,Marża zysku operacyjnego,Marża zysku netto,Marża zysku ze sprzedaży,Marża zysku brutto,Marża zysku brutto ze sprzedaży,Rentowność operacyjna aktywów,Udział zysku netto w przepływach operacyjnych,Wskaźnik źródeł finansowania inwestycji,Zadłużenie ogólne,Zadłużenie kapitału własnego,Zastosowanie kapitału obcego,Wskaźnik ogólnej sytuacji finansowej,I stopień pokrycia,Płynność gotówkowa,Płynność szybka,Płynność bieżąca,Pokrycie zobowiązań należnościami
231,2011-05-12,LBW,-40.72,2.58,16.3,,,18.32,-27.6,44.14,-88.51,-87.12,70.36,-14.39,3.97,4.1,0.81,90.34,97.3,-30.61,11.77,17.45,28.96,-1.8,-1.46,-36.17,-46.66,-27.75,13.13
232,2011-08-31,LBW,27.48,,-4.81,,,-4.16,144.25,-20.89,1246.67,837.5,245.33,65.83,1.74,1.9,6.22,282.35,1114.24,1.43,22.04,24.7,-1.75,9.5,0.37,-50.86,-26.64,1.47,-17.26
233,2011-11-09,LBW,-36.4,,-30.15,-25.16,,-33.81,-147.48,-26.56,-17.33,-21.33,-319.27,-30.74,-80.55,-6.79,4.38,-377.42,153.95,-14.79,-8.95,-4.93,-3.11,-4.51,-1.68,25.65,12.17,-1.61,7.88
234,2012-05-15,LBW,-0.1,,20.35,-10.29,10.35,31.25,9.11,-1.85,16.83,15.69,3.74,12.57,1.19,2.48,0.56,22.64,-0.55,-92.94,7.76,9.74,6.86,-5.11,3.64,-70.64,-7.66,-0.96,24.81
235,2012-08-31,LBW,16.88,,0.53,,-8.38,11.56,6.77,8.31,-1220.34,-1516.95,38.49,8.84,22.63,-8.09,20.66,38.21,12.92,1998.98,-2.54,-10.95,-23.3,1.68,-5.97,2.9,15.54,29.44,-7.37
236,2012-11-14,LBW,7.23,,7.12,,23.81,8.19,9.17,16.72,15.51,12.32,-6.95,-20.51,-5.49,-9.62,-1.48,17.25,9.68,25.02,-5.4,-0.6,2.97,2.36,-1.24,11.17,-7.28,-2.72,3.88
237,2013-05-14,LBW,21.4,,53.39,26.76,39.09,34.17,34.81,28.26,8.45,0.54,-9.87,-34.76,-6.9,-28.5,27.35,-2.85,-59.89,-78.22,30.87,38.29,12.98,-4.36,0.92,-48.75,-5.86,-9.98,12.77
238,2013-08-30,LBW,19.29,-51.86,-13.86,25.24,-7.36,4.11,-4.56,33.18,38.64,50.54,23.26,-9.35,21.3,44.51,-5.16,36.07,14.49,-39.12,0.2,-1.77,21.81,13.13,-8.21,64.13,-16.04,-3.56,-6.27
239,2013-11-14,LBW,-5.31,58.95,37.86,-19.59,1.52,11.23,-28.1,-18.32,0.47,3.57,-0.55,49.48,-0.15,3.9,1.07,3.88,32.9,-5.24,-9.28,-12.27,29.69,-8.23,-13.82,53.67,8.06,-27.64,9.25
240,2014-05-12,LBW,14.74,,-27.76,-43.36,-20.83,-10.17,16.97,-6.91,185.93,86.05,9.27,8.71,-10.48,21.03,-2.24,1.87,47.35,,10.36,14.07,-12.75,0.17,6.09,-12.56,6.23,11.77,9.68
241,2014-08-29,LBW,-0.85,,-2.65,-46.51,-18.46,-11.91,-3.51,9.82,15.03,58.12,43.97,-20.44,58.24,60.37,-2.05,50.92,83.71,73.17,10.5,11.71,4.48,0.83,-1.7,33.84,-2.95,-9.61,-14.68
242,2014-11-14,LBW,-3.83,,0.94,-11.73,22.93,10.1,-13.98,-36.79,3.83,5.53,-6.98,-1.51,5.21,-5.89,4.61,-0.49,-35.17,33.12,-4.55,-6.28,-15.84,1.42,38.87,-11.22,27.79,17.63,-1.63
243,2015-05-12,LBW,11.62,,19.8,15.29,10.19,18.72,5.07,5.49,-22.28,-27.62,12.76,-20.51,20.38,19.37,0.93,2.92,-14.88,,7.12,8.37,1.66,2.19,3.19,-53.19,-11.73,-4.45,26.83
244,2015-08-27,LBW,2.17,,-10.63,22.37,31.11,-14.39,-7.69,-5.99,-28.9,-23.25,-38.06,-26.61,-75.85,-40.64,-2.54,-35.22,-4.41,,2.6,4.08,6.1,-0.55,-5.45,-17.26,-8.76,15.71,-15.0
245,2015-11-10,LBW,0.49,,6.69,-12.34,2.85,4.13,9.44,60.75,-87.42,-87.43,-54.22,-87.55,-169.02,-70.69,-3.48,-54.38,256.42,,-2.39,-3.71,-3.63,3.15,2.94,103.78,-9.47,-15.7,3.35
246,2016-05-10,LBW,-2.99,,-1.67,-15.52,-14.24,19.11,3.15,1.53,50.63,40.23,-55.34,52.71,-3950.0,-101.21,7.07,-59.09,49.24,,-4.56,-6.28,5.67,16.52,-19.43,-79.25,3.54,-4.14,5.4
247,2016-08-30,LBW,11.03,,4.91,23.96,-6.89,-15.04,9.75,8.63,-29.83,-26.23,130.77,-28.93,254.32,5200.0,8.01,141.67,-13.51,233.06,40.9,69.94,1.81,-1.57,5.24,352.73,-8.07,-0.29,-6.7
248,2016-10-26,LBW,2.27,,-3.12,21.03,-2.9,14.97,12.29,7.47,107.78,111.11,59.26,104.29,46.8,183.33,4.49,64.37,25.62,-29.79,8.1,15.78,6.06,1.52,4.6,-53.68,-5.02,-9.14,-3.6
249,2017-05-05,LBW,-2.5,,20.24,34.56,22.92,27.9,57.48,13.93,-4.68,-13.39,-12.46,-21.64,-12.88,-2.7,-3.42,-15.53,9.5,-10.87,-18.57,-69.36,-33.19,-35.56,3.49,190.23,4.85,38.1,15.97
