,D_DATE,Ticker,Cena / Wartość księgowa,Cena / Wartość księgowa Grahama,Cena / Przychody ze sprzedaży,Cena / Zysk,Cena / Zysk operacyjny,EV / Przychody ze sprzedaży,EV / EBIT,EV / EBITDA,ROE,ROA,Marża zysku operacyjnego,Marża zysku netto,Marża zysku ze sprzedaży,Marża zysku brutto,Marża zysku brutto ze sprzedaży,Rentowność operacyjna aktywów,Udział zysku netto w przepływach operacyjnych,Wskaźnik źródeł finansowania inwestycji,Zadłużenie ogólne,Zadłużenie kapitału własnego,Zastosowanie kapitału obcego,Wskaźnik ogólnej sytuacji finansowej,I stopień pokrycia,Płynność gotówkowa,Płynność szybka,Płynność bieżąca,Pokrycie zobowiązań należnościami
110,2021-05-26,EAH,1.89,,0.42,17.88,14.23,0.88,6.01,7.93,6.59,2.94,2.58,2.5,5.04,3.75,43.63,5.06,33.48,46.8,0.61,1.51,1.18,1.0,0.7,0.09,0.41,1.26,0.28
111,2021-09-28,EAH,2.37,,0.56,8.69,17.86,0.85,8.03,9.76,10.1,4.54,3.83,3.7,5.06,4.61,44.71,6.73,13.02,33.19,0.6,1.53,1.16,0.93,0.74,0.18,0.51,1.43,0.3
112,2021-11-24,EAH,2.07,,0.62,18.87,16.14,0.87,10.64,7.64,12.72,6.06,4.26,3.69,5.26,4.7,46.31,6.95,56.97,89.6,0.6,1.57,1.12,0.95,0.81,0.14,0.5,1.48,0.26
113,2022-05-27,EAH,2.02,,0.47,8.67,6.56,0.69,8.45,5.14,12.78,6.4,7.38,5.84,6.78,7.06,48.22,7.2,61.33,20.65,0.63,1.73,1.14,0.92,0.83,0.11,0.43,1.36,0.24
114,2022-09-28,EAH,1.71,,0.37,7.74,5.28,0.56,6.82,4.25,22.28,6.36,7.2,5.38,7.12,7.23,48.19,8.28,74.84,96.51,0.66,1.6,1.13,0.93,0.78,0.1,0.35,1.34,0.22
115,2022-11-28,EAH,1.57,,0.32,9.28,4.9,0.55,4.77,4.55,15.4,5.02,5.86,4.2,6.06,5.36,47.81,7.95,59.67,76.0,0.64,1.51,1.1,0.92,0.84,0.14,0.31,1.29,0.23
116,2023-05-26,EAH,1.49,,0.5,8.04,6.24,0.58,6.98,5.44,18.28,5.02,5.82,3.28,5.9,5.94,41.9,8.58,53.45,104.16,0.57,1.09,1.02,0.96,0.96,0.12,0.36,1.41,0.25
117,2023-09-28,EAH,2.27,,0.38,9.55,6.82,0.55,6.04,5.01,14.17,5.35,5.15,3.19,5.19,5.99,37.24,8.2,46.18,86.31,0.56,1.05,0.99,0.97,1.02,0.14,0.34,1.44,0.26
118,2023-11-28,EAH,1.96,7.82,0.37,19.49,11.52,0.57,10.62,4.96,12.04,3.65,4.87,2.77,4.16,3.71,36.29,6.42,56.87,78.74,0.56,1.27,0.96,1.0,1.05,0.15,0.39,1.42,0.29
119,2024-05-27,EAH,2.07,,0.4,12.9,8.48,0.57,11.3,4.5,12.15,5.37,4.42,3.03,4.39,3.98,39.99,5.98,33.43,88.67,0.55,0.98,0.96,0.98,1.06,0.08,0.35,1.42,0.26
120,2010-11-15,HRP,10.55,,4.9,24.4,26.24,5.39,17.58,14.1,1.18,1.1,2.27,2.57,2.41,6.44,31.99,0.98,-69.51,,0.28,0.42,1.39,0.76,0.62,0.27,1.04,1.46,0.84
121,2011-05-13,HRP,10.92,,5.59,46.43,46.84,5.32,44.57,37.35,11.45,8.34,7.63,3.12,7.17,3.21,46.87,9.2,-58.74,36.98,0.47,2.09,1.36,0.83,0.71,0.07,1.13,1.52,0.78
122,2011-08-31,HRP,10.65,,6.59,,52.77,6.37,51.04,43.3,2.81,2.02,5.5,3.08,3.95,2.64,43.76,4.68,-14.12,82.43,0.48,0.74,1.28,0.79,0.79,0.78,1.01,1.36,0.76
123,2011-11-14,HRP,5.46,,4.78,,28.12,4.27,23.22,24.29,4.38,4.31,6.66,3.98,3.8,4.65,43.41,5.11,-18.2,85.66,0.43,0.58,1.29,0.83,0.81,0.61,1.01,1.35,0.8
124,2012-05-15,HRP,5.57,,4.02,23.38,15.55,3.7,2.73,8.97,-2.54,-0.5,1.8,-3.17,2.19,-0.77,40.9,1.53,9.17,91.18,0.44,0.69,1.09,0.85,0.84,0.42,0.94,1.4,0.84
125,2012-08-31,HRP,4.37,,3.18,22.04,17.84,2.68,9.17,6.78,0.96,1.05,7.91,4.57,8.12,5.5,45.07,2.32,30.58,69.07,0.45,0.74,1.12,0.86,0.72,0.23,0.88,1.38,0.84
126,2012-11-14,HRP,3.89,,2.3,20.06,16.4,1.95,10.17,6.83,0.19,0.08,7.56,2.14,7.94,4.88,41.96,2.08,14.94,61.9,0.37,0.65,0.76,0.83,0.88,0.24,0.85,1.79,0.6
127,2013-05-15,HRP,3.75,,2.28,17.28,9.19,1.9,-3.23,5.78,-1.2,-0.77,-2.24,-4.58,-2.11,-3.68,40.55,-0.38,50.48,55.17,0.48,1.04,1.1,0.83,0.76,0.09,0.83,1.39,0.55
128,2013-08-30,HRP,2.99,,1.76,24.07,17.22,1.57,8.79,6.12,2.29,0.76,3.87,-2.16,3.94,0.62,40.33,2.08,35.71,82.87,0.48,1.04,0.89,0.85,0.88,0.09,0.85,1.57,0.64
129,2013-11-14,HRP,3.15,,1.9,15.12,11.6,1.62,9.78,9.18,0.98,0.33,4.34,-0.36,4.56,2.72,39.45,1.93,58.7,85.56,0.46,1.02,0.88,0.85,0.88,0.09,0.72,1.75,0.76
130,2014-05-15,HRP,2.53,,1.54,19.26,15.62,1.73,12.13,10.33,3.15,1.81,7.28,4.24,7.54,5.17,51.52,5.37,37.18,66.14,0.37,0.66,0.7,0.9,0.96,0.22,0.92,1.8,0.76
131,2014-08-29,HRP,2.13,,2.08,19.56,18.34,1.99,18.49,13.16,6.65,3.03,6.56,4.53,6.98,4.54,48.65,5.39,59.31,67.79,0.36,0.7,0.65,0.87,0.95,0.36,0.88,1.93,0.81
132,2014-11-14,HRP,2.17,,1.71,16.87,17.67,1.68,17.92,12.25,7.02,3.17,5.57,3.15,6.45,3.82,45.13,5.61,22.01,89.96,0.42,0.79,0.88,0.93,0.95,0.16,0.94,1.6,0.66
133,2015-05-15,HRP,2.24,,1.44,27.36,19.32,1.76,21.63,11.66,0.76,0.53,5.12,1.89,5.44,2.75,40.78,2.62,20.79,130.75,0.38,0.96,0.97,1.21,0.98,0.15,0.77,1.35,0.66
134,2015-08-31,HRP,2.63,,1.85,19.4,15.21,2.21,13.31,10.05,-1.89,-1.3,1.71,-1.52,2.13,0.76,45.23,1.13,50.45,97.2,0.34,0.57,1.18,1.15,0.94,0.23,0.85,1.57,0.65
135,2015-11-13,HRP,2.47,,1.92,24.96,22.42,2.44,13.71,10.12,0.28,0.15,1.69,0.18,3.91,1.0,41.99,1.39,43.5,93.09,0.37,0.64,0.92,1.21,0.96,0.17,1.08,1.57,0.75
136,2016-05-13,HRP,1.97,,1.7,,12.15,1.88,-2.44,6.1,-4.24,-2.69,-2.82,-0.63,1.59,-1.72,28.58,-2.35,13.17,93.31,0.37,0.64,1.31,1.0,0.82,0.17,0.77,1.37,0.66
137,2016-08-31,HRP,2.32,,1.74,39.84,13.97,1.9,-1.71,6.62,-4.86,-2.61,-0.21,-0.89,2.0,-7.02,31.9,-3.18,67.05,88.26,0.38,0.6,1.32,1.02,0.87,0.16,0.89,1.41,0.65
138,2016-11-14,HRP,2.8,,1.92,,21.67,2.22,-0.8,-0.89,-2.22,-1.11,1.05,-0.14,-2.22,-2.5,42.87,-1.34,39.48,87.96,0.36,0.55,1.06,0.96,0.88,0.13,0.82,1.31,0.72
139,2017-05-29,HRP,1.67,,2.07,,,2.28,-11.16,7.39,-4.36,-4.06,-2.79,-5.68,-2.17,-3.6,37.9,-2.54,62.52,87.94,0.37,0.54,0.87,0.91,0.9,0.15,0.83,1.48,0.57
140,2017-09-29,HRP,1.78,,2.23,,,2.77,-9.18,1.69,-5.28,-3.84,-4.78,-8.54,-4.35,-7.5,38.22,-4.06,59.18,88.01,0.36,0.53,0.88,0.94,0.91,0.15,0.87,1.39,0.63
141,2017-11-27,HRP,1.44,,1.77,,,2.76,-7.03,1.34,-4.49,-3.06,-4.62,-8.34,-3.89,-8.68,40.99,-4.06,26.21,75.42,0.39,0.56,1.01,0.97,0.88,0.08,0.83,1.4,0.57
142,2018-02-26,HRP,1.52,,1.9,,,1.77,10.98,8.57,0.05,-0.9,-0.36,-2.24,3.82,-0.96,47.2,-0.41,24.24,75.37,0.46,0.75,1.08,0.95,0.87,0.17,0.78,1.36,0.55
