,D_DATE,Ticker,Cena / Wartość księgowa,Cena / Wartość księgowa Grahama,Cena / Przychody ze sprzedaży,Cena / Zysk,Cena / Zysk operacyjny,EV / Przychody ze sprzedaży,EV / EBIT,EV / EBITDA,ROE,ROA,Marża zysku operacyjnego,Marża zysku netto,Marża zysku ze sprzedaży,Marża zysku brutto,Marża zysku brutto ze sprzedaży,Rentowność operacyjna aktywów,Udział zysku netto w przepływach operacyjnych,Wskaźnik źródeł finansowania inwestycji,Zadłużenie ogólne,Zadłużenie kapitału własnego,Zastosowanie kapitału obcego,Wskaźnik ogólnej sytuacji finansowej,I stopień pokrycia,Płynność gotówkowa,Płynność szybka,Płynność bieżąca,Pokrycie zobowiązań należnościami
119,2024-05-27,EAH,39.57,,-18.95,60.42,35.9,-1.58,61.92,-17.17,-33.53,6.97,-24.12,-7.62,-25.66,-33.05,-4.56,-30.26,-37.46,-14.87,-4.4,-10.2,-5.92,2.43,10.45,-35.25,-1.42,0.68,4.3
120,2010-11-15,HRP,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,2011-05-13,HRP,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,2011-08-31,HRP,,,,,,,,,54.4,20.96,10.79,-25.24,-21.16,-62.5,25.89,132.84,80.2,,69.49,87.71,-12.95,-5.91,26.89,368.45,13.63,10.08,-13.0
123,2011-11-14,HRP,-48.27,,-2.32,,7.14,-20.85,32.08,72.25,271.61,291.82,193.61,54.67,57.47,-27.8,35.7,421.43,73.82,,54.35,39.28,-7.03,9.7,30.89,128.73,-2.5,-7.35,-4.3
124,2012-05-15,HRP,-49.0,,-28.06,-49.64,-66.79,-30.41,-93.87,-75.99,-122.23,-106.0,-76.34,-201.6,-69.46,-123.99,-12.74,-83.37,115.61,146.61,-6.49,-67.13,-19.81,2.23,17.75,466.58,-16.7,-7.94,7.09
125,2012-08-31,HRP,-58.97,,-51.75,,-66.2,-57.95,-82.04,-84.33,-65.84,-48.02,43.95,48.38,105.7,108.14,2.99,-50.43,316.68,-16.21,-6.34,0.06,-12.1,9.56,-9.63,-71.3,-13.01,1.44,11.25
126,2012-11-14,HRP,-28.75,,-51.94,,-41.69,-54.33,-56.19,-71.86,-95.67,-98.03,13.35,-46.16,109.09,5.05,-3.33,-59.3,182.08,-27.74,-15.28,11.85,-40.86,0.36,8.47,-60.47,-15.97,32.44,-25.76
127,2013-05-15,HRP,-32.55,,-43.35,-26.1,-40.88,-48.5,-218.12,-35.5,52.85,-54.0,-224.1,-44.48,-196.35,-377.92,-0.86,-124.84,450.49,-39.5,8.38,51.28,0.7,-2.41,-9.5,-79.54,-11.77,-0.76,-34.34
128,2013-08-30,HRP,-31.45,,-44.63,9.23,-3.47,-41.57,-4.1,-9.78,138.54,-27.14,-51.07,-147.37,-51.45,-88.81,-10.52,-10.56,16.76,19.98,7.41,40.59,-20.33,-2.12,21.97,-58.84,-3.48,13.46,-23.4
129,2013-11-14,HRP,-18.92,,-17.19,-24.65,-29.25,-17.0,-3.91,34.39,413.16,288.24,-42.55,-116.59,-42.6,-44.42,-5.99,-7.21,293.04,38.22,25.34,57.34,14.94,1.75,0.72,-60.8,-14.67,-2.21,27.51
130,2014-05-15,HRP,-32.5,,-32.16,11.47,69.9,-9.14,475.96,78.58,362.5,335.06,425.0,192.58,457.35,240.49,27.05,1513.16,-26.35,19.87,-22.64,-36.6,-36.69,8.4,27.64,156.86,11.2,29.52,38.84
131,2014-08-29,HRP,-28.75,,18.31,-18.75,6.5,26.96,110.32,115.02,190.39,296.08,69.51,309.24,76.93,638.21,20.63,159.76,66.09,-18.2,-24.59,-32.9,-27.38,2.61,8.53,289.1,4.69,22.97,25.26
132,2014-11-14,HRP,-31.17,,-10.42,11.6,52.32,3.75,83.36,33.4,620.0,860.61,28.34,987.32,41.6,40.7,14.4,190.67,-62.5,5.14,-7.49,-22.39,0.52,10.24,8.01,66.56,29.19,-8.66,-13.0
133,2015-05-15,HRP,-11.76,,-6.83,42.07,23.69,1.65,78.25,12.85,-75.87,-70.72,-29.67,-55.42,-27.85,-46.81,-20.85,-51.21,-44.08,97.7,2.3,45.29,40.01,34.73,1.36,-33.73,-16.05,-24.94,-13.1
