,Ticker,Data,Przychody ze sprzedaży,Techniczny koszt wytworzenia produkcji sprzedanej,Koszty sprzedaży,Koszty ogólnego zarządu,Zysk ze sprzedaży,Pozostałe przychody operacyjne,Pozostałe koszty operacyjne,Zysk operacyjny (EBIT),Przychody finansowe,Koszty finansowe,Pozostałe przychody (koszty),Zysk z działalności gospodarczej,Wynik zdarzeń nadzwyczajnych,Zysk przed opodatkowaniem,Zysk (strata) netto z działalności zaniechanej,Zysk netto,Zysk netto akcjonariuszy jednostki dominującej,Aktywa trwałe,Wartości niematerialne i prawne,Rzeczowe składniki majątku trwałego,Należności długoterminowe,Inwestycje długoterminowe,Pozostałe aktywa trwałe,Aktywa obrotowe,Zapasy,Należności krótkoterminowe,Inwestycje krótkoterminowe,Środki pieniężne i inne aktywa pieniężne,Pozostałe aktywa obrotowe,Aktywa trwałe przeznaczone do sprzedaży,Aktywa razem,Kapitał własny akcjonariuszy jednostki dominującej,Kapitał (fundusz) podstawowy,Udziały (akcje) własne,Kapitał (fundusz) zapasowy,Udziały niekontrolujące,Zobowiązania długoterminowe,Z tytułu dostaw i usług,Kredyty i pożyczki,Z tytułu emisji dłużnych papierów wartościowych,Zobowiązania z tytułu leasingu finansowego,Inne zobowiązania długoterminowe,Zobowiązania krótkoterminowe,Inne zobowiązania krótkoterminowe,Rozliczenia międzyokresowe,Pasywa razem,Przepływy pieniężne z działalności operacyjnej,Amortyzacja,Przepływy pieniężne z działalności inwestycyjnej,CAPEX (niematerialne i rzeczowe),Przepływy pieniężne z działalności finansowej,Emisja akcji,Dywidenda,Przepływy pieniężne razem
36,BDZ,2010-01-26,12.44,7.63,-86.17,1.47,81.6,94.78,322.99,45.0,181.01,-33.55,,52.8,,52.8,,59.38,59.38,-2.56,-13.12,-4.03,,0.0,51.82,31.05,16.67,26.75,236.28,338.42,53.19,,4.74,11.64,0.0,,7.33,,-44.1,36.29,-92.94,,0.0,,-26.33,53.03,49.55,4.74,91.43,-13.59,40.32,-36.78,-378.81,,0.0,18893.33
37,BDZ,2011-01-27,-3.01,0.59,-25.1,3.89,-26.32,-34.2,-49.94,-16.28,154.95,-57.81,,-12.35,,-12.35,,6.96,-13.11,-3.64,-57.83,-3.71,,-100.0,11.62,17.46,35.42,-1.71,63.12,63.12,13.89,,2.09,7.33,0.0,,42.67,,-78.89,16.36,-100.0,,-100.0,,-16.27,-32.5,12.47,2.09,-44.11,-9.0,11.81,-15.02,57.58,,0.0,-18.23
38,BDZ,2012-01-27,0.33,5.81,-31.32,5.41,-44.61,411.86,-47.39,-15.28,96.11,-75.59,,-9.71,,-9.71,,-27.01,-10.16,-5.56,-75.33,-5.87,,,6.72,28.44,1.68,-0.88,204.31,204.31,-24.39,,5.07,5.45,0.0,,39.69,,-100.0,11.39,,,,,4.75,-6.71,6.28,5.07,22.87,27.19,18.15,8.82,39.43,,-0.02,428.03
39,BDZ,2013-01-30,-14.93,-7.62,-1.6,-19.11,-115.23,-92.12,116.18,-145.32,-23.33,-85.48,,-134.94,,-134.94,,-135.29,-135.29,-10.48,369.03,-12.32,,,11.32,-4.94,-33.07,7.82,7.74,7.74,30.65,,-8.36,-4.08,0.0,,0.05,,,-40.91,,,,,-24.42,9.54,-8.94,-8.36,-73.81,11.89,13.94,-34.87,100.0,,-100.0,-88.47
40,BDZ,2014-03-21,3.07,-13.06,764.23,-10.89,1448.36,713.83,-89.29,502.82,7.64,7844.44,,583.87,,583.87,,578.39,578.39,32.12,-84.91,43.22,,,-100.0,27.64,114.6,35.41,-31.85,-31.85,-100.0,,30.34,42.36,139.6,,31.12,,,103.11,,,,,99.81,95.58,-100.0,30.34,57.35,-29.79,-206.26,217.19,,,,-533.5
41,BDZ,2015-03-21,21.26,25.67,-100.0,-100.0,62.03,133.36,1003.98,51.47,57.75,2144.62,,-16.17,,-16.17,,-16.55,-16.55,349.68,9371.25,88.16,2698611.13,,,241.32,34.9,292.19,514.75,-23.4,,,307.62,12.35,0.0,,5.06,,1851.72,29.89,388546.68,,,11.68,540.38,17.04,,307.62,60.37,51.08,-114.87,81.83,1515.04,,,48.78
42,BDZ,2016-03-21,15.52,7.82,,,49.34,-47.36,54.97,28.66,170.03,29.68,-100.0,36.27,,36.27,,34.68,34.68,10.15,-8.66,20.8,8.04,-49.19,,-11.83,-19.24,14.02,-44.84,117.89,87.5,,3.0,14.43,0.0,,6.37,,6.18,-6.97,-13.97,,,12.12,-9.34,31.66,,3.0,472.87,8.94,60.11,-25.94,-598.78,,,485.87
43,BDZ,2017-03-21,7.5,17.61,,,-24.53,114.7,-73.04,-3.81,-59.2,6.58,,-21.46,,-21.46,,-26.28,-26.28,-5.7,-11.52,4.65,-10.72,-88.9,-12.44,6.77,-23.98,5.61,28.5,36.06,28.33,,-2.23,8.96,0.0,,6.47,,-15.25,45.22,14.67,,,0.16,13.69,-20.92,,-2.23,-10.52,16.27,54.96,-57.07,-2.23,,,-33.34
44,BDZ,2018-04-27,1.12,11.4,,,-49.68,4.16,10.98,-42.78,156.53,-2.66,,-75.17,,-75.17,,-80.37,-80.37,-8.74,-10.73,-5.21,-16.45,645.0,-60.56,-2.12,42.43,-13.02,7.89,-18.48,1.3,,-6.73,1.5,0.0,,40.02,,-27.22,29.06,-2.72,,,-39.23,16.11,164.54,,-6.73,45.35,-1.57,71.86,-52.17,-80.42,-100.0,,-167.44
45,BDZ,2019-04-25,7.54,43.55,,,-386.28,-46.65,2659.42,-579.9,-59.94,-82.85,100.0,-2431.99,,-2431.99,,-3824.4,-3824.4,-34.78,-83.28,-38.67,-33.88,58.49,-100.0,-18.88,90.48,-17.39,-73.14,-65.03,212.82,,-29.71,-62.06,0.0,,0.0,,-74.78,-29.82,48.78,,,-52.63,31.88,25.88,,-29.71,-138.45,-14.65,370.44,-34.56,26.59,,,-2335.31
46,BDZ,2020-06-30,-27.45,-15.24,,,-39.54,65.74,-96.36,40.79,-53.91,43.6,,37.79,,37.79,,33.63,33.63,-21.41,-22.76,-3.67,-44.15,-1.65,,-25.22,-41.57,-35.13,87.6,219.46,-56.56,,-22.81,-106.48,0.0,,0.0,,-26.88,25.79,-20.5,,,-5.87,-6.14,35.73,,-22.81,129.26,-24.63,232.29,127.64,25.33,,,70.2
47,BDZ,2021-04-30,51.24,44.02,,,-27.21,-51.02,4473.58,-195.05,-68.97,68.02,,-187.02,,-187.02,,-202.58,-202.58,-46.65,-25.5,-12.79,-100.0,-99.97,,-42.51,-54.66,-75.77,37.45,57.42,-17.92,,-45.17,-4967.75,0.0,,-100.0,,-46.24,-66.26,-99.09,,,-25.32,21.03,333.5,,-45.17,431.8,-4.43,-102.93,-79.52,18.28,,,140.31
